eid,epochtime,sales
49,1541097000.0,540
49,1541183400.0,16200
49,1541442600.0,540
49,1541615400.0,3780
49,1541615400.0,864
49,1541788200.0,864
49,1541788200.0,864
49,1541961000.0,864
49,1542133800.0,864
49,1542220200.0,864
49,1542220200.0,3240
49,1542306600.0,864
49,1542479400.0,864
49,1542479400.0,540
49,1542565800.0,540
49,1542652200.0,3402
49,1542738600.0,2592
49,1542825000.0,3240
49,1542825000.0,3240
49,1542911400.0,540
49,1543170600.0,4500
49,1543170600.0,540
49,1543343400.0,3240
49,1543429800.0,16200
49,1543429800.0,540
49,1544725800.0,3780
49,1544466600.0,16200
49,1544639400.0,540
49,1544985000.0,9720
49,1545330600.0,1620
49,1545417000.0,540
49,1545589800.0,540
49,1545762600.0,1620
49,1546108200.0,1080
49,1546626600.0,540
49,1547836200.0,540
49,1548009000.0,864
49,1548095400.0,864
49,1548527400.0,1620
49,1548527400.0,540
49,1548613800.0,3240
49,1549996200.0,864
49,1550082600.0,540
49,1550169000.0,540
49,1550255400.0,540
55,1551637800.0,864
49,1541269800.0,107080
49,1532025000.0,8
49,1532629800.0,139993
49,1551637800.0,6480
49,1540665000.0,12688
74,1540665000.0,3000
49,1547663400.0,9288
49,1540665000.0,6340
74,1547663400.0,3500
49,1534444200.0,8300
74,1540665000.0,4900
49,1538332200.0,7000
55,1538332200.0,3240
49,1538505000.0,6100
49,1538591400.0,4800
49,1538850600.0,9288
49,1538937000.0,4660
55,1539714600.0,2700
74,1539973800.0,3000
55,1540665000.0,5184
74,1540665000.0,4900
49,1540665000.0,8648
55,1541010600.0,8000
49,1541010600.0,9396
74,1541010600.0,3900
49,1541010600.0,21600
49,1541010600.0,9404
49,1541010600.0,7776
49,1541097000.0,8300
55,1541097000.0,5180
49,1541097000.0,8872
49,1541097000.0,6480
49,1541097000.0,7560
55,1541183400.0,8640
74,1541183400.0,4500
49,1541183400.0,7000
49,1541183400.0,6804
49,1541183400.0,4324
55,1541183400.0,5500
74,1541183400.0,3500
49,1541183400.0,0
55,1541183400.0,324
49,1541269800.0,8640
49,1541269800.0,8640
49,1541269800.0,4300
49,1541269800.0,6800
49,1541356200.0,6480
49,1541356200.0,6800
49,1541356200.0,8640
49,1541356200.0,8756
49,1541356200.0,8640
49,1541356200.0,2160
49,1541356200.0,15120
55,1541442600.0,8640
49,1541442600.0,8856
74,1541442600.0,3500
74,1541442600.0,3000
49,1541442600.0,8640
49,1541442600.0,9288
55,1541529000.0,8640
49,1541442600.0,6480
49,1541529000.0,7016
49,1541529000.0,8640
49,1541529000.0,7236
74,1541529000.0,3500
49,1541529000.0,8208
55,1541529000.0,7560
49,1541529000.0,12960
49,1541529000.0,12552
49,1541615400.0,10364
49,1541615400.0,6800
55,1541615400.0,7560
49,1541615400.0,7772
49,1541615400.0,8300
49,1541615400.0,5680
49,1541701800.0,5184
49,1541701800.0,8549
49,1541788200.0,6800
49,1541788200.0,6700
49,1541788200.0,8340
49,1541788200.0,6600
55,1541788200.0,7124
49,1541788200.0,8640
49,1541961000.0,8964
74,1541961000.0,4900
55,1541961000.0,5940
55,1541961000.0,8160
49,1541961000.0,6480
49,1542133800.0,8300
49,1541961000.0,6380
55,1542133800.0,7000
49,1542133800.0,6480
49,1542220200.0,7560
49,1542220200.0,7776
55,1542220200.0,3780
55,1542220200.0,6800
49,1542220200.0,5832
49,1542220200.0,540
49,1542220200.0,18360
74,1542306600.0,5300
49,1542306600.0,2160
49,1542306600.0,7776
49,1542306600.0,8640
74,1542306600.0,4500
55,1542306600.0,5500
55,1542306600.0,7020
49,1542306600.0,6156
49,1542306600.0,4800
49,1542306600.0,2700
55,1542393000.0,1590
55,1542393000.0,6480
49,1542393000.0,6480
49,1542393000.0,4320
49,1542479400.0,5400
49,1542479400.0,6480
55,1542479400.0,15752
49,1542479400.0,8640
49,1542479400.0,7020
55,1542479400.0,200000
49,1542479400.0,6804
49,1542479400.0,6480
49,1542565800.0,3240
55,1542565800.0,7560
55,1542565800.0,9936
49,1542565800.0,8640
49,1542565800.0,7560
55,1542565800.0,7000
49,1542565800.0,6912
49,1542565800.0,0
74,1542565800.0,3000
49,1542565800.0,10152
49,1542565800.0,2160
49,1542652200.0,14958
55,1542652200.0,3500
49,1542652200.0,9288
49,1542652200.0,6480
49,1542738600.0,8000
49,1542738600.0,0
49,1542738600.0,11664
49,1542825000.0,9088
49,1542825000.0,12276
49,1542825000.0,9072
49,1542911400.0,8640
49,1542911400.0,3240
49,1542911400.0,2700
49,1542911400.0,7900
55,1542911400.0,4104
55,1542911400.0,5832
49,1542911400.0,7776
49,1542997800.0,0
49,1542997800.0,7452
49,1542997800.0,9412
74,1542997800.0,4500
55,1542997800.0,4000
49,1542997800.0,7776
74,1542997800.0,3500
74,1542997800.0,3240
55,1543170600.0,6480
49,1543170600.0,140000
55,1543170600.0,7776
74,1543170600.0,3500
74,1543170600.0,3500
